;height(km), density(g/cm^3)
    0.0 1.190E-03
   10.0 4.186E-04
   20.0 9.439E-05
   30.0 1.901E-05
   40.0 4.096E-06
   50.0 1.081E-06
   60.0 3.069E-07
   70.0 7.823E-08
   80.0 1.733E-08
   90.0 3.498E-09
  100.0 5.984E-10
  110.0 8.465E-11
  120.0 1.734E-11
  130.0 6.313E-12
  140.0 3.045E-12
  150.0 1.690E-12
  160.0 1.021E-12
  170.0 6.522E-13
  180.0 4.339E-13
  190.0 2.974E-13
  200.0 2.087E-13
  210.0 1.492E-13
  220.0 1.084E-13
  230.0 7.982E-14
  240.0 5.946E-14
  250.0 4.476E-14
  260.0 3.401E-14
  270.0 2.607E-14
  280.0 2.013E-14
  290.0 1.565E-14
  300.0 1.224E-14
  310.0 9.636E-15
  320.0 7.626E-15
  330.0 6.064E-15
  340.0 4.843E-15
  350.0 3.883E-15
  360.0 3.125E-15
  370.0 2.523E-15
  380.0 2.043E-15
  390.0 1.659E-15
  400.0 1.350E-15
  410.0 1.101E-15
  420.0 9.008E-16
  430.0 7.385E-16
  440.0 6.068E-16
  450.0 4.997E-16
  460.0 4.123E-16
  470.0 3.410E-16
  480.0 2.826E-16
  490.0 2.348E-16
  500.0 1.955E-16
  510.0 1.633E-16
  520.0 1.367E-16
  530.0 1.148E-16
  540.0 9.665E-17
  550.0 8.167E-17
  560.0 6.925E-17
  570.0 5.893E-17
  580.0 5.036E-17
  590.0 4.321E-17
  600.0 3.724E-17
  610.0 3.224E-17
  620.0 2.805E-17
  630.0 2.452E-17
  640.0 2.155E-17
  650.0 1.903E-17
  660.0 1.690E-17
  670.0 1.508E-17
  680.0 1.353E-17
  690.0 1.220E-17
  700.0 1.106E-17
  710.0 1.007E-17
  720.0 9.209E-18
  730.0 8.460E-18
  740.0 7.803E-18
  750.0 7.225E-18
  760.0 6.714E-18
  770.0 6.260E-18
  780.0 5.854E-18
  790.0 5.490E-18
  800.0 5.161E-18
  810.0 4.864E-18
  820.0 4.593E-18
  830.0 4.345E-18
  840.0 4.119E-18
  850.0 3.910E-18
  860.0 3.716E-18
  870.0 3.537E-18
  880.0 3.371E-18
  890.0 3.215E-18
  900.0 3.070E-18
  910.0 2.934E-18
  920.0 2.806E-18
  930.0 2.685E-18
  940.0 2.571E-18
  950.0 2.464E-18
  960.0 2.362E-18
  970.0 2.266E-18
  980.0 2.174E-18
  990.0 2.087E-18
 1000.0 2.005E-18
